status	scope	path	decision	evidence
A	server	autobyteus-server-ts/tests/fixtures/codex-thread-event-harness.ts	Add Durable Coverage	API-REV-038 shared real CodexThread native/request/listener/converter driver; focused/production TypeScript; no-fabrication audit
M	server	autobyteus-server-ts/tests/e2e/external-channel/external-channel-team-open-delivery.e2e.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-agent-segment-admission.integration.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/autobyteus/events/autobyteus-stream-event-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/events/claude-session-event-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-reasoning-block-converter.test.ts	Needs Update / Real CodexThread Boundary / Revalidated	API-REV-038 real CodexThread listener harness; 147/147 focused tests; no-fabrication audit; focused/production TypeScript
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-reasoning-block-tracker.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-thread-event-converter.test.ts	Needs Update / Real CodexThread Boundary / Revalidated	API-REV-038 real CodexThread listener harness; 147/147 focused tests; no-fabrication audit; focused/production TypeScript
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/thread/codex-thread.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
M	server	autobyteus-server-ts/tests/unit/external-channel/runtime/channel-run-output-event-collector.test.ts	Needs Update / Currentized / Revalidated	API-REV-037 focused affected selection; current server selection; production build; fresh six-row browser/provider matrix
