status	scope	path	decision	evidence
M	server	autobyteus-server-ts/tests/e2e/external-channel/external-channel-team-open-delivery.e2e.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/e2e/token-usage/token-usage-canonical-execution-address-graphql.e2e.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/fixtures/current-team-run-fixtures.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/agent-team-run-manager.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/mixed-team-run-backend.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/task-delegation-tool-lifecycle.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-conversation-target-websocket.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-run-service.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/api/runtime-selection-top-level.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/app-data-migrations/team-run-metadata-member-tree-history.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/integration/run-history/memory-layout-and-projection.integration.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/autobyteus/autobyteus-agent-run-backend-factory.test.ts	Needs Update / Currentized / Revalidated	crr068-focused-final.log; crr068-static-audit.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/backend/claude-session-bootstrapper.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/session/claude-session-tool-gating.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/backend/codex-thread-bootstrapper.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/thread/codex-thread-manager.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/thread/codex-thread.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-execution/events/token-usage-event-enrichment-transformer.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/inter-agent-message-delivery.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/member-team-context-builder.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-agent-member-handle-memory-invariant.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-team-manager.test.ts	Needs Update / Currentized / Revalidated	crr068-focused-final.log; crr068-static-audit.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/mixed-team-member-registry-task-agent-memory.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/sub-team-active-run-directory.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-address-builder.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-service.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-definition-topology-planner.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-manager-member-interrupt.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-member-delivery-coordinator.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-config-localization.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-metadata-mapper.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-team-execution/team-run-service.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/agent-tools/team-communication/get-handoff-rules.test.ts	Needs Re-review / Revalidated	server-current.log
M	server	autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-canonical-execution-address-migration.test.ts	Needs Re-review / Revalidated	server-current.log
D	server	autobyteus-server-ts/tests/unit/app-data-migrations/token-usage-legacy-path-columns-drop-migration.test.ts	Stale / Remove	server-current.log
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/agent-stream-websocket-egress.test.ts	Stale Case Removed / Supported Boundary Revalidated	crr068-focused-final.log; crr068-static-audit.log
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/agent-team-stream-handler.test.ts	Still Valid / Replacement Boundary Revalidated	crr068-focused-final.log; crr068-static-audit.log
M	server	autobyteus-server-ts/tests/unit/services/agent-streaming/team-run-event-websocket-message-mapper.test.ts	Needs Re-review / Revalidated	server-current.log
M	web	autobyteus-web/components/applications/setup/__tests__/ApplicationTeamLaunchProfileEditor.spec.ts	Needs Re-review / Revalidated	web-current.log
M	web	autobyteus-web/components/mobile/__tests__/MobileArtifacts.spec.ts	Needs Re-review / Revalidated	web-current.log
