127.0.0.1 - - [23/Aug/2026 13:18:33] "GET /agent-teams?view=team-list HTTP/1.1" 301 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /agent-teams/?view=team-list HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/D6GA1c7Z.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/entry.Bn-W7tLM.css HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/JmX8zwT_.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/CE1G-McA.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/vuQt9z1E.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/CfNMPy8q.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/I5w8IrE_.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/BA6dQRAZ.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/AgentDefinitionForm.B4uhkLvJ.css HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/Dich9YIJ.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/BhY-H4VU.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/BTIs-B09.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/CTIKcfzx.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/D_7mETjc.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/CPjEl8GW.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/Bn_4rQAE.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /_nuxt/Bv4L8bhO.js HTTP/1.1" 200 -
127.0.0.1 - - [23/Aug/2026 13:18:44] code 404, message File not found
127.0.0.1 - - [23/Aug/2026 13:18:44] "GET /favicon.ico HTTP/1.1" 404 -
